,MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,DirectorAssistedCalls,OverageMinutes,RoamingCalls,PercChangeMinutes,PercChangeRevenues,CustomerCareCalls,MonthsInService,HandsetPrice,DroppedCalls
count,14272.0,14272.0,14272.0,14272.0,14272.0,14272.0,14272.0,14272.0,14272.0,14272.0,14272.0,14272.0
mean,0.13585856993715728,0.08882060291092829,0.08877435742735322,0.09718447171909075,0.09749014906642609,-0.0059006441923716985,-0.011339398850797948,-0.024155229689583686,-0.0527588301288552,1.4038438667894302,-0.4028716255593123,0.054779435072475506
std,1.0721238876692052,1.0570013333555661,1.0793243166188777,1.5194365424607041,1.202336614543815,0.9435334299088411,0.9153968317997805,0.9252545843454872,0.8352826707015875,0.6758652927278507,0.9419685960779058,0.9233733385501915
min,-1.2677673645427423,-0.9925094380651128,-2.0503826604461324,-0.4013915088397723,-0.4137899602360017,-0.1257179657642822,-10.809260334263788,-14.453065089454672,-0.366751757368111,-1.0975732908044182,-2.145216049674011,-0.6647034388675205
25%,-0.5191601008970295,-0.6504378369128397,-0.7065439779169956,-0.4013915088397723,-0.4137899602360017,-0.1257179657642822,-0.29086562274072053,-0.19606986662227238,-0.366751757368111,0.9331588379007887,-0.6121160220210058,-0.5209596157738129
50%,-0.1433826751145656,-0.1987521315239268,-0.0766195954814627,-0.2890522208445277,-0.2893874589614112,-0.1257179657642822,0.0175412603323613,0.011482133401656928,-0.3078830699421519,1.24935553830079,-0.6121160220210058,-0.2224147524253432
75%,0.46714403405910965,0.49352791959796805,0.5533047869540701,0.0434720716213964,0.1356544203934395,-0.07897290180981205,0.2755530034911772,0.0782502995260413,-0.041491699845704014,1.7595574576714874,0.729346502175374,0.2530455854999974
max,17.926459872618036,12.915252511545807,12.227903341425945,71.22164494540841,44.38147737372279,70.50268743514067,17.504891424102308,22.047671802971053,19.001046405772414,4.310567054524975,0.729346502175374,16.363410989156307
