,MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,DirectorAssistedCalls,OverageMinutes,RoamingCalls,PercChangeMinutes,PercChangeRevenues,CustomerCareCalls,MonthsInService,HandsetPrice,DroppedCalls
count,51066.0,51066.0,51066.0,51066.0,51066.0,51066.0,51066.0,51066.0,51066.0,51066.0,51066.0,51066.0
mean,0.09130999593107599,0.1712834653556425,0.07446914729691782,0.034499917054083826,0.08793555121447866,0.0016943406134041785,-0.013519807595835875,-0.0031013030523253968,0.14888096555769426,-0.4295122722025872,0.04402654591141795,0.14580938232893456
std,1.0169200168755217,1.0415654218829613,0.9551339554879724,0.9626551271661742,1.0198982304195239,0.8240380635822094,1.0953057973348004,1.0274013123901375,1.1597630683770148,0.6490880608924569,1.007547212393639,1.0728105646198072
min,-1.4619507335016393,-0.9925094380651128,-2.428337289907452,-0.4013915088397723,-0.4137899602360017,-0.1257179657642822,-15.057357432215476,-28.06127423033957,-0.366751757368111,-1.3016540585526972,-2.145216049674011,-0.6647034388675205
25%,-0.5218515184057415,-0.5653924112119985,-0.496569183771818,-0.4013915088397723,-0.4137899602360017,-0.1257179657642822,-0.34690234812450343,-0.2032463860196583,-0.366751757368111,-0.8934925230561394,-0.6121160220210058,-0.5137635491336882
50%,-0.1715201182301743,-0.1212662992187158,-0.0766195954814627,-0.2890522208445277,-0.29042144387000507,-0.1257179657642822,0.0175412603323613,0.017386151299944,-0.2464513821143667,-0.5873713714337209,0.729346502175374,-0.1892431009421799
75%,0.3983843121085653,0.616747007549851,0.5533047869540701,0.0434720716213964,0.1595681710295469,-0.08528376116395374,0.348814887236851,0.0960023427586529,0.1822631910161338,-0.0771694520630233,0.729346502175374,0.3636177571105417
max,26.20411662494701,10.564218965504772,14.831590788826148,32.29832844081604,23.20195153172376,113.3448744200917,20.2797952165258,63.011779565310576,63.8589862243532,4.208526670650835,0.729346502175374,22.41170877625308
